"PERSON_ID","FINAL_PARENT_OKATO_NAME"
-1,
1,"Тюменская область"
2,"Краснодарский край"
3,"Санкт-Петербург"
4,"Москва"
5,"Камчатский край"
6,"Белгородская область"
7,"Свердловская область"
8,"Ростовская область"
9,"Камчатский край"
10,"Москва"
11,"Тамбовская область"
12,"Челябинская область"
13,"Московская область"
14,"Новосибирская область"
15,"Воронежская область"
16,"Москва"
17,"Омская область"
18,"Челябинская область"
19,"Республика Татарстан"
20,"Республика Татарстан"
21,"Еврейская автономная область"
22,"Московская область"
23,"Чувашская Республика - Чувашия"
24,"Свердловская область"
25,"Свердловская область"
26,"Новосибирская область"
27,"Санкт-Петербург"
28,"Белгородская область"
29,"Ивановская область"
30,"Москва"
31,"Оренбургская область"
32,"Краснодарский край"
33,"Московская область"
34,"Оренбургская область"
35,"Москва"
36,"Самарская область"
37,"Республика Башкортостан"
38,"Москва"
39,"Республика Башкортостан"
40,
41,"Республика Башкортостан"
42,"Краснодарский край"
43,"Краснодарский край"
44,"Московская область"
45,"Краснодарский край"
46,"Москва"
47,"Свердловская область"
48,"Республика Башкортостан"
49,"Владимирская область"
50,"Республика Башкортостан"
51,"Москва"
52,"Москва"
53,"Курганская область"
54,"Самарская область"
55,"Москва"
56,"Москва"
57,"Москва"
58,"Красноярский край"
59,"Воронежская область"
60,"Москва"
61,"Республика Коми"
62,"Москва"
63,"Оренбургская область"
64,"Курганская область"
65,"Москва"
66,
67,"Москва"
68,"Ростовская область"
69,"Вологодская область"
70,"Вологодская область"
71,"Вологодская область"
72,"Москва"
73,"Республика Башкортостан"
74,"Новосибирская область"
75,"Москва"
76,"Москва"
77,"Москва"
78,"Москва"
79,"Москва"
80,"Иркутская область"
81,"Москва"
82,"Московская область"
83,"Москва"
84,"Оренбургская область"
85,"Москва"
86,"Москва"
87,"Сахалинская область"
88,"Иркутская область"
89,"Краснодарский край"
90,"Архангельская область"
91,"Москва"
92,"Челябинская область"
93,"Новгородская область"
94,"Ростовская область"
95,"Удмуртская Республика"
96,"Удмуртская Республика"
97,"Санкт-Петербург"
98,"Удмуртская Республика"
99,"Вологодская область"
100,"Вологодская область"
101,"Ульяновская область"
102,"Новосибирская область"
103,"Свердловская область"
104,"Москва"
105,"Мурманская область"
106,"Удмуртская Республика"
107,"Тульская область"
108,"Москва"
109,"Москва"
110,"Калужская область"
111,"Чувашская Республика - Чувашия"
112,"Костромская область"
113,"Республика Саха"
114,"Удмуртская Республика"
115,"Саратовская область"
116,"Москва"
117,"Республика Хакасия"
118,"Краснодарский край"
119,"Краснодарский край"
120,"Удмуртская Республика"
121,"Московская область"
122,"Кировская область"
123,"Нижегородская область"
124,"Москва"
125,"Оренбургская область"
126,"Москва"
127,"Москва"
128,"Тюменская область"
129,
130,"Самарская область"
131,"Алтайский край"
132,"Ивановская область"
133,"Москва"
134,"Москва"
135,"Оренбургская область"
136,"Москва"
137,"Новосибирская область"
138,"Новосибирская область"
139,"Новосибирская область"
140,"Владимирская область"
141,"Самарская область"
142,"Нижегородская область"
143,"Удмуртская Республика"
144,"Удмуртская Республика"
145,"Ивановская область"
146,"Свердловская область"
147,"Пермский край"
148,"Москва"
149,"Тюменская область"
150,"Москва"
151,"Москва"
152,"Ставропольский край"
153,
154,"Оренбургская область"
155,"Москва"
156,"Новосибирская область"
157,"Тверская область"
158,"Тюменская область"
159,"Ивановская область"
160,"Брянская область"
161,"Оренбургская область"
162,"Московская область"
163,"Москва"
164,"Москва"
165,"Ярославская область"
166,"Ставропольский край"
167,"Москва"
168,"Новосибирская область"
169,"Тюменская область"
170,"Воронежская область"
171,"Камчатский край"
172,"Самарская область"
173,"Республика Хакасия"
174,"Томская область"
175,"Ивановская область"
176,"Рязанская область"
177,"Москва"
178,"Москва"
179,"Москва"
180,"Алтайский край"
181,"Тамбовская область"
182,"Москва"
183,"Астраханская область"
184,"Москва"
185,"Пермский край"
186,"Псковская область"
187,"Новосибирская область"
188,"Ивановская область"
189,"Вологодская область"
190,"Астраханская область"
191,"Республика Башкортостан"
192,"Республика Мордовия"
193,"Красноярский край"
194,"Краснодарский край"
195,"Новосибирская область"
196,"Омская область"
197,
198,"Ульяновская область"
199,"Кировская область"
200,"Хабаровский край"
201,"Ульяновская область"
202,"Москва"
203,"Москва"
204,"Владимирская область"
205,"Астраханская область"
206,"Москва"
207,"Москва"
208,"Москва"
209,"Кировская область"
210,"Белгородская область"
211,"Тверская область"
212,"Ивановская область"
213,"Саратовская область"
214,"Республика Татарстан"
215,"Нижегородская область"
216,"Красноярский край"
217,"Удмуртская Республика"
218,"Москва"
219,"Москва"
220,"Тюменская область"
221,"Республика Татарстан"
222,"Саратовская область"
223,
224,"Пермский край"
225,"Ставропольский край"
226,"Москва"
227,"Саратовская область"
228,"Новосибирская область"
229,"Республика Коми"
230,"Москва"
231,"Калужская область"
232,"Приморский край"
233,
234,"Москва"
235,"Москва"
236,"Саратовская область"
237,"Оренбургская область"
238,"Ивановская область"
239,
240,"Алтайский край"
241,"Москва"
242,
243,"Московская область"
244,"Вологодская область"
245,"Курганская область"
246,"Республика Коми"
247,"Красноярский край"
248,"Москва"
249,"Удмуртская Республика"
250,"Пермский край"
251,"Москва"
252,"Санкт-Петербург"
253,"Красноярский край"
254,"Московская область"
255,"Курганская область"
256,"Республика Татарстан"
257,"Самарская область"
258,"Свердловская область"
259,"Санкт-Петербург"
260,
261,"Ростовская область"
262,"Москва"
263,"Курганская область"
264,"Москва"
265,"Удмуртская Республика"
266,"Пермский край"
267,"Москва"
268,"Москва"
269,"Москва"
270,"Ульяновская область"
271,"Кировская область"
272,"Москва"
273,"Хабаровский край"
274,"Санкт-Петербург"
275,"Свердловская область"
276,"Самарская область"
277,"Москва"
278,"Псковская область"
279,"Москва"
280,"Омская область"
281,"Ульяновская область"
282,"Иркутская область"
283,"Владимирская область"
284,"Красноярский край"
285,"Москва"
286,"Москва"
287,"Омская область"
288,"Москва"
289,"Москва"
290,"Воронежская область"
291,"Удмуртская Республика"
292,"Вологодская область"
293,"Вологодская область"
294,"Ростовская область"
295,
296,"Московская область"
297,"Московская область"
298,"Москва"
299,"Московская область"
300,"Чувашская Республика - Чувашия"
301,"Республика Татарстан"
302,"Москва"
303,"Москва"
304,"Московская область"
305,"Новгородская область"
306,"Московская область"
307,"Московская область"
308,"Москва"
309,"Липецкая область"
310,"Республика Хакасия"
311,"Москва"
312,"Москва"
313,"Вологодская область"
314,"Москва"
315,"Краснодарский край"
316,"Новосибирская область"
317,"Томская область"
318,"Оренбургская область"
319,"Свердловская область"
320,"Краснодарский край"
321,"Тульская область"
322,"Новосибирская область"
323,"Новосибирская область"
324,"Москва"
325,"Республика Башкортостан"
326,"Удмуртская Республика"
327,"Удмуртская Республика"
328,"Омская область"
329,"Республика Северная Осетия-Алания"
330,
331,"Москва"
332,"Республика Хакасия"
333,"Архангельская область"
334,"Владимирская область"
335,"Москва"
336,"Москва"
337,"Москва"
338,"Новосибирская область"
339,"Республика Татарстан"
340,"Республика Татарстан"
341,"Республика Башкортостан"
342,"Омская область"
343,
344,"Краснодарский край"
345,"Калужская область"
346,"Калужская область"
347,"Удмуртская Республика"
348,"Курганская область"
349,
350,"Ярославская область"
351,"Воронежская область"
352,"Самарская область"
353,"Липецкая область"
354,"Ивановская область"
355,"Республика Башкортостан"
356,"Новосибирская область"
357,"Удмуртская Республика"
358,"Новосибирская область"
359,"Томская область"
360,"Москва"
361,"Тверская область"
362,"Пермский край"
363,"Самарская область"
364,"Курганская область"
365,"Москва"
366,"Орловская область"
367,"Воронежская область"
368,"Краснодарский край"
369,"Москва"
370,"Новосибирская область"
371,"Оренбургская область"
372,
373,
374,"Хабаровский край"
375,"Оренбургская область"
376,"Республика Хакасия"
377,"Новосибирская область"
378,"Курганская область"
379,"Москва"
380,"Республика Татарстан"
381,"Тверская область"
382,"Калужская область"
383,"Свердловская область"
384,"Смоленская область"
385,"Челябинская область"
386,"Брянская область"
387,"Республика Башкортостан"
388,"Красноярский край"
389,"Республика Башкортостан"
390,"Хабаровский край"
391,"Республика Татарстан"
392,"Свердловская область"
393,"Московская область"
394,"Москва"
395,"Красноярский край"
396,
397,"Свердловская область"
398,"Чувашская Республика - Чувашия"
399,"Ростовская область"
400,"Краснодарский край"
401,"Санкт-Петербург"
402,"Волгоградская область"
